Dolphin Tale 2,2014-09-12,https://en.wikipedia.org/wiki/Dolphin_Tale_2,Family,Charles Martin Smith,NULL,Winter,Hope,Nathan Gamble,Harry Connick,Jr.,36000000.00,57800000.00
Don't Breathe,2016-08-26,https://en.wikipedia.org/wiki/Don%2527t_Breathe_(2016_film),Thriller,Fede Alvarez,NULL,Dylan Minnette,Stephen Lang,Daniel Zovatto,NULL,NULL,9900000.00,28300000.00
Dr. Seuss' The Lorax,2012-03-02,https://en.wikipedia.org/wiki/The_Lorax_(film),Family,Chris Renaud,NULL,Danny DeVito,Zac Efron,Taylor Swift,Ed Helms,Rob Riggle,70000000.00,348800000.00
Dracula Untold,2014-10-10,https://en.wikipedia.org/wiki/Dracula_Untold,Drama,Gary Shore,NULL,Luke Evans,Sarah Gadon,William Houston,Dominic Cooper,Samantha Barks,70000000.00,217100000.00
Draft Day,2014-04-07,https://en.wikipedia.org/wiki/Draft_Day,Drama,Ivan Reitman,NULL,Kevin Costner,Jennifer Garner,Denis Leary,Frank Langella,Tom Welling,25000000.00,29500000.00
Dragon Blade,2015-02-18,https://en.wikipedia.org/wiki/Dragon_Blade_(film),Action,Daniel Lee,NULL,Jackie Chan,Choi Siwon,John Cusack,Adrien Brody,James Lee Guy,65000000.00,120000000.00
Dumb and Dumber To,2014-11-14,https://en.wikipedia.org/wiki/Dumb_and_Dumber_To,Comedy,Peter Farrelly,Bobby Farrelly,Jim Carrey,Jeff Daniels,Kathleen Turner,Laurie Holden,NULL,50000000.00,169800000.00
Earth to Echo,2014-06-14,https://en.wikipedia.org/wiki/Earth_to_Echo,Sci-Fi,Dave Green,NULL,Astro,Teo Halm,Reese Hartwig,Ella Wahlestedt,NULL,13000000.00,45300000.00
Eddie the Eagle,2016-02-26,https://en.wikipedia.org/wiki/Eddie_the_Eagle_(film),Drama,Dexter Fletcher,NULL,Taron Egerton,Christopher Walken,Hugh Jackman,NULL,NULL,23000000.00,46200000.00
Edge of Tomorrow,2014-05-28,https://en.wikipedia.org/wiki/Edge_of_Tomorrow_(film),Action,Doug Liman,NULL,Tom Cruise,Emily Blunt,NULL,NULL,NULL,178000000.00,370500000.00
Elysium,2013-08-09,https://en.wikipedia.org/wiki/Elysium_(film),Sci-Fi,Neill Blomkamp,NULL,Matt Damon,Jodie Foster,Sharlto Copley,Wagner Moura,Alice Braga,115000000.00,286100000.00
Embrace of the Serpent,2015-05-15,https://en.wikipedia.org/wiki/Embrace_of_the_Serpent,Adventure,Ciro Guerra,NULL,Jan Bijvoet,Nilbio Torres,Antonio Bolívar,NULL,NULL,1400000.00,2800000.00
End of Watch,2012-09-21,https://en.wikipedia.org/wiki/End_of_Watch,Action,David Ayer,NULL,Jake Gyllenhaal,Michael Peña,Anna Kendrick,Frank Grillo,America Ferrera,7000000.00,48100000.00
